name,info,tokens
Government,,government|law|system|rule|park|federal|union|official|gov|department|authority|govt|defense|executive|regulation|code|agency|branch|reserve|gov't|irs|mandate|fda|dept|goverment|infrastructure|cemetery|treasury|postal|commission|clause|intervention|surveillance|agriculture|judicial|transportation|protocol|treaty|militia|provision|government's|legislative|audit|epa|np|commerce|bureau|oversight|guideline|jurisdiction|statute|governmental|bureaucrat|defence|bureaucracy|usda|limitation|administrative|fcc|mechanism|dod|ordinance|automate|inspection|telecommunication|overreach|militarization|federally|regulatory
Health,insurance,health|insurance|education|healthcare|benefit|welfare|stamp|medicare|coverage|medicaid|retirement|assistance|rent|handout|pension|recipient|provider|tuition|heath|freebie|utility|maternity|perk|ssi|ration|voucher|ebt|homeowner|foodstamps|babysitter|comp
Health,hospital,doctor|medical|condition|hospital|quality|treatment|nurse|medicine|patient|shelter|facility|disability|med|development|medication|therapy|procedure|delivery|surgeon|physician|counsel|fitness|clinic|necessity|nutrition|pre-existing|therapist|psychologist|rehab|psychiatrist|psychiatric|diagnosis|adequate|dental|hazard|prescribe|caregiver|dentist|undergo|practitioner|evaluation|clinical|preexist|counselor|malpractice|doctor's|medically|insulin|accommodation|wellness
Laugh,informal and normal,lol|omg|wtf|lmao|haha|xd|hahaha|lmfao|hahahaha|wth
Laugh,informal and strong,hahahahaha|omfg|hahah|hahahahahaha|jk|lmaooo|lolol|lololol|lmbo|bahahaha|bahaha|lmfaooo|lolololol|yooo|lmaoo|lmmfao
Minority,race and sex,white|black|gay|male|female|heterosexual|feminist|lesbian|transgender|trans|bisexual|bi|genitalia|mutilate|alpha|hetero|mutilation|genital|transgendered|beta|circumcision|blk
Minority,vulnerable groups,child|poor|young|hungry|adult|average|homeless|struggle|elderly|senior|older|disable|younger|teen|teenager|sharecropper|unemployed|handicap|needy|orphan|infant|teenage|hardworking|uninsured|helpless|boomer|obese|middle-class|jobless|autistic|impoverish|underage|hard-working|low-income|overweight|laborer|underpay|stricken
Modal,,will|don't|would|can|should|can't|could|didn't|must|may|dont|won't|might|wouldn't|cannot|cant|couldn't|shouldn't|haven't|didnt|wont|would've|wouldnt|should've|hadn't|could've|couldnt|shouldnt|havent
Name,pliticians,romney|mccain|carson|mitt|cruz|palin|paul|ted|ron|penny|ryan|biden|newt|allen|rubio|kaine|gingrich|kasich|rand|marco|nugent|cain|sen|grayson|gore|mc|santorum|jeb|willard|herman|christie|rudy|mitten|huckabee|fiorina|giuliani|mcsame|bachmann|mcain|mcbush|crist|franken|ossoff|bachman|nader
Name,Trump,trump|obama|barry|obummer|dt|bo|nobama|drumpf|chump|djt|trumpet|bho|#45|cheeto|obozo|oboma|obuma|0bama|tump|ovomit|trumpy|obumer
Name,former president,bush|george|reagan|johnson|jr|kennedy|ronald|carter|richard|lincoln|jimmy|jfk|nixon|cheney|abraham|sr|lbj|fdr|roosevelt|regan|mlk|gw|abe|eisenhower|lyndon|ronnie|hoover|gwb|2.0|truman|orwell|dwight|herbert|theodore|carlin|ike|perot|dubya
Name,Clinton,hillary|clinton|bernie|hilary|killary|hrc|killery|hitlery|hilliary|hillery|hiliary|hitlary|rodham|billary|shillary|hellary
Nation,,canada|mexico|europe|france|uk|germany|india|england|australia|britain|kenya|brazil|greet|italy|sweden|ireland|indonesia|spain|norway|venezuela|greece|abroad|nigeria|poland|scotland|philippine|switzerland|denmark|netherlands|bangladesh|iceland|belgium|portugal|ontario|alberta|sri|finland|quebec|lanka
Nationality,,african|mexican|english|native|hispanic|indian|german|british|chinese|european|french|irish|asian|caucasian|spanish|italian|japanese|greek|egyptian|australian|latin|oriental|cuban|korean|brit|nigerian|brazilian|descent|arabic|dutch|scottish|legion|cherokee|ancestry|vietnamese|portuguese|afro|filipino|swedish|scot|norwegian|fluent
Negative,,sad|offend|surprise|angry|disappoint|embarrass|shock|sicken|annoy|disturb|entertain|impress|terrify|appal|frighten|fascinate|sadden|depress|horrify|frustrate|cringe|amuse|stun|speechless|repulse|astound|irritate|infuriate|comical|baffle|astonish|intrigue|dishearten|dismay|enrage|nauseate|reassure
Negative,,fear|hatred|anger|emotion|rage|negativity|laughter|intolerance|sadness|envy|profanity|paranoia|vitriol|sorrow|excitement|despair|ugliness|venom|malice|bitterness|discord|animosity|discontent
Offend,,racist|offensive|nasty|bigot|hateful|rude|childish|hypocritical|petty|homophobic|sexist|bigoted|insensitive|stereotype|intolerant|foul|inappropriate|vulgar|crude|homophobe|obnoxious|racially|pretentious|derogatory|condescend|misogynist|discriminatory|lewd|hurtful|misogynistic|xenophobic|raciest|judgemental|distasteful|stereotypical|crass|snarky|spiteful|hate-filled|tasteless|belligerent|rasist
Opinion,,wrong|agree|deal|meet|disagree|fill|tie|decorate|replace|contact|associate|relationship|encounter|combine|connect|relation|comply|interfere|satisfy|familiar|obsess|interaction|compete|confront|negotiate|communicate|equate|consistent|cooperate|affiliate|align|interact|intervene|obsession|consult|merge|tamper|equip|disagreement|cope|resonate|riddle|coordinate|reunite|sympathize|concur|conspire|reconcile|correlate|collude|bombard|contend|synonymous|correspond|certainty|coexist
Opinion,,much|important|easy|likely|often|dangerous|obvious|similar|difficult|painful|popular|impossible|expensive|strange|relevant|accurate|appropriate|refresh|effective|useful|acceptable|complex|rare|productive|ironic|comfortable|odd|fortunate|impressive|significant|importantly|aggressive|attractive|valuable|awkward|uncomfortable|helpful|progressively|harsh|transparent|complicate|realistic|controversial|apparent|humane|questionable|believable|bizarre|meaningful|convenient|intense|suspicious|dramatic|unlikely|constructive|efficient|evident|unusual|beneficial|frequent|profitable|pleasant|competitive|crucial|comparable|unsafe|understandable|risky|subtle|unpopular|incline|humorous|costly|sophisticate|suitable|sinister|accessible|cautious|plausible|doubtful|favorable|stressful|prevalent|applicable|apt|proactive|enjoyable|uncommon|precise|efficiently|unpleasant|masculine|uncanny|flexible|infinitely|unpredictable|notable
Party,,republican|democrat|gop|democratic|dems|dem|repubs|demo|repub|rinos|republican's|democrates|democraps|dem's|obstructionist|democrat's|repugs
Personal,,your|my|their|her|ur|people's|whose|someone's|everyone's|man's|one's|thier|woman's|person's|anyone's|other's|somebody's|everybody's|everyones|carrie's|anyones|another's
Religion,non-Christian,muslim|radical|jew|islamic|jewish|extremist|arab|brotherhood|orthodox|islamist|radicalize|hindu|jihad|infidel|kenyan|buddhist|jihadist|fundamentalist|militant|sunni|sympathizer|moslem|sect|systematically|muslin|tribal|shia|non-muslims|barbarian|sikh|gypsy
Religion,Christian,christian|church|pope|catholic|mormon|pastor|wright|francis|priest|rev|preacher|scholar|temple|jeremiah|saul|moses|baptist|bishop|profess|theology|protestant|alinsky|liberation|choir|lds|benedict|devout|apostle|missionary|farrakhan|imam|cardinal|reverend|denomination
Religion,god,god|amen|jesus|lord|christ|prayer|faith|sin|god's|heaven|spirit|grace|angel|allah|joy|creator|forgiveness|kingdom|sinner|miracle|guidance|salvation|divine|heavenly|glorious|christ's|messenger|trump.god|repentance|hallelujah|saviour|supernatural|lord's|shalom|trinity|yeshua|richly|g-d|redemption|revival|covenant|sabbath|yahweh|humbly
Religion,evil,evil|devil|satan|cult|demon|wicked|pagan|beast|satanic|hail|antichrist|lucifer|vatican|demonic|ruler|possess|emperor|ritual|spawn|goddess|satanist|anti-christ|jesuit|satan's|pharisee|heathen|reptilian|destroyer|babylon|gentile|worshiper|juda|doer|wickedness|freemason|serpent|worshipper
Society,civilian,of|people|american|man|those|person|human|men|politician|public|folk|voter|community|worker|ppl|individual|population|victim|patriot|minority|customer|privilege|scientist|wildlife|poacher|tourist|rhino|factor|ranger|vast|viewer|user|american's|visitor|vulnerable|guilt|evangelicals|quo|peep|demographic|electorate|supremacy|listener|populace|southerner|officer's|californian|participant|indenture|millennials|floridian|dissent|inmate|commenters|variable|citizenry|carolinian|citizen's|poeple|crackhead|predominantly|goy|youngster|christian's|baristas|unbeliever|leo's|turk|amerikkka
Surprise,informal,oh|damn|dear|goodness|woah|gosh|nooo|ah|dang|whoa|alright|honey|ahhh|awww|darn|ohhh|ooo|aww|hoo|yah|ohh|aw|ahh|sweetie|oooh|ooh|boi|dammit|gawd|yeh|naw|betcha|lordy|@matureamericanable|noo|damnit|lawd|golly
Swear,informal and hate majority,moron|fool|loser|clown|cunt|dumbass|jerk|douche|prick|jackass|dummy|turd|lunatic|twat|douchebag|looser|buffoon|dipshit|dickhead|psycho|twit|fucktard|bozo|goof|wanker|dolt|tard|nitwit|dork|dimwit|schmuck|simpleton|putz|dumbfuck|blowhard|quack|dunce|nutter|doofus|dingbat|fuckhead
Swear,informal and hate minority,bitch|dude|nigger|nigga|fucker|negro|monkey|faggot|redneck|cracker|homo|fag|motherfucker|sob|queer|ghetto|mf|juggalos|hick|coon|gangster|hillbilly|inbred|weirdo|slob|kettle|chimp|whitey|gorilla|cocksucker|gangsta|baboon|mofo|bich|spook|wetback|spic|kike
Swear,informal and short,*|f|#|@|sh|fu|ck|ing|bullsh|cking|pu|fuc|tch|shi
Swear,informal and simple,fuck|fuckin|dam|fuk|fucken|goddamn|fk|fkn|fricken|damm|fn|f'n|f'ing|fck|fricking|frigging|fukin|f-ing|gd|fking|fuking|fuckn|fing|fcking|friggen
Swear,informal and long,bastard|scum|sheep|parasite|scumbags|degenerate|ungrateful|goon|maggot|cockroach|celebs|fucktards|swine|junky|asshats|peasant|cretin|shithead|douchebags|complainer|vermin|neanderthal|naysayer|slug|dipshits|dweller|a-holes|politicans|subhuman|knucklehead
Vote,,vote|win|elect|impeach|appoint|nominate|assassinate|re-elected|reelect|re-elect|inaugurate|ineligible
,,".|,|and|that|...|not|but|if|just|or|who|by|why|because|..|)|then|even|well|&|/|still|yes|also|which|actually|maybe|;|without|yet|probably|either|though|etc|include|however|anymore|obviously|anyway|unless|definitely|nor|except|whether|honestly|plus|certainly|perhaps|personally|neither|btw|unfortunately|apparently|otherwise|basically|although|usually|—|therefore|besides|surely|whom|currently|sadly|thus|fully|despite|bc|anyways|hardly|meanwhile|necessarily|generally|normally|hence|furthermore|secondly|financially|essentially|technically|heavily|potentially|thankfully|freely|whereas|effectively|typically|historically|successfully|luckily|evidently|lastly|fortunately|ironically|thereby|voluntarily|exclusively|nevertheless|newly|additionally|collectively|becuase|moreover|definately|likewise|imho|infact|undoubtedly|constitutionally|similarly|therefor|indefinitely|independently|religiously|namely|admittedly|becasue|incidentally|ergo"
,,be|it's|i'm|that's|you're|he's|im|she's|they're|thats|we're|ya|y'all|yall|shes|youre|ya'll|iam|theyre|i'am
,,the|our|other|today|unite|foreign|divide|third|america's|modern|throughout|western|develop|peaceful|today's|wide|tolerant|friendly|worldwide|inner|civilize|secular|humanitarian|stable|sovereign|hostile|diverse|unify|inclusive|fundamentally|parallel|prosperous|orient|populate|conservation|globally|superpower|nurture|dominant|arguably|industrialize|usa's
,,!|bye|maga|💯|yay|goodbye|fdt|#trump2016|#fdt|🚫|#feelthebern|felicia|donal|booo|woo|bam|ftw|beto|anyhow|#fuckdonaldtrump|wooo|#hillary2016|gooo|yasss|hooray|heil|adios|woohoo|buh|goo|woot|motherfucking|yeahhh|fuckkk|sux|fucc|#bernie2016|donold|#firecolbert|fack
,,a|thing|these|work|live|always|feel|such|eat|fight|🇺|sound|act|wait|break|play|treat|||build|middle|judge|special|holy|sing|civil|•|apologize|cross|snoop|bone|sleep|responsible|luck|sake|supreme|stone|grief|label|felt|smell|search|target|blah|hunt|memory|cell|grip|taste|grab|model|–|section|prepare|meow|bleed|battle|duck|boo|nightmare|rushmore|cheer|1.3|beg|hunter|ex|ayers|pregnant|behave|mentality|pose|goldwater|maker|poster|karma|gate|bloody|hug|dogg|foster|instance|draft|tan|sore|champion|league|tackle|ken|vomit|puke|ding|koch|upper|rawhide|deed|shed|repair|sling|organizer|anchor|pratt|posse|revolt|it'd|needle|euthanize|kneel|awaken|warfare|#alb|tantrum|brake|trophy|secretly|temper|icp|furious|gimme|riddance|eternity|thesis|revenge|dodger|maher|hearted|bounty|ache|lust|crave|spark|gag|romance|cosby|deface|scout|mourn|merchandise|wag|boner|mood|flock|goose|philipe|willow|theorist||bigly|imaginary|snitch|eachother|wah|column|vest|pete's|mickey|starter|twilight|stoke|mold|debacle|triumph|dread|substitute|who've|fore|;(|naughty|dixie|dong|rogue|andolini|misspell|nanny|casual|mare|cupcake|talker|cartoonist|euthanizing|stitch|goosebump|spur|emoji|that'd|itch|wich|ops|rekt|hee|miner|pave|squash|spank|piggy|learner|domino|poker|hound|blizzard|farmer's|haircut|merchant|barf|merch|heaven's|who'd|cancellation|forge|dame|yuge|weld|devos|changer|indirectly|0:00|steward|token|thr|cray|া|groom|mend|spokesperson|payback|burp|loudest|grandma's|diarrhea|fend|nature's|goody|nag|notorious|tease|erect|skate|menace|snipe|cheerleader|tickle|snd|blowjob|martyr|avi|merle|hustle|stutter|unisex|shaft|wretched|fodder|hugger|muh|drunken|diehard|rash|peyton|waver|vandalize|deez|dynasty|touchdown|yearn|dawg|fap|summon|atm|unbearable|merger|disgruntle|wield|loughner|grabber|xfinity|weary|lively|haitian|retarted|obedient|opus|overload|peg|sensation|gent|daft|jumper|immortal|abd|sever|onward|newyork|handedly|flaunt|afterward|itchy|ে|squirm|furnish|heartedly|💡|vanity|unlock|legged|ayn|allways|mandela|sneeze|tge|rat's|sanger|mascot|mod|wrench|atta|screech|reflex
,,to|in|for|on|up|at|out|over|back|off|into|down|against|away|around|through|under|together|behind|between|along|forward|above|across|within|towards|upon|outside|ahead|among|everywhere|apart|thru|below|toward|aside|onto|backwards|viral|forth|elsewhere|beside|amongst|backward|peacefully|tide|overboard|downhill|astray
,,you|i|it|this|they|we|he|what|u|me|she|them|him|any|please|something|nothing|someone|everyone|anything|anyone|everything|yourself|others|themselves|whatever|himself|myself|nobody|everybody|somebody|anybody|somewhere|whoever|anywhere|yourselves|ourselves|herself|whomever|noone|somthing|no-one|someplace|oneself|everthing
,,"?|""|do|with|like|no|about|make|ha|way|than|doe|here|start|hell|else|far|power|what's|hurt|there's|exactly|common|bite|teach|alone|especially|nut|hide|who's|bos|further|near|here's|whats|dare|zero|heck|item|com|climate|root|us|material|witness|famous|locker|where's|empty|leaf|boom|fabric|humor|mate|co|stump|picker|swamp|fyi|invent|mo|nowhere|dy|kanye|oval|lean|bubble|else's|sensitivity|nowadays|lately|slay|babe|bricka|petrify|accent|dose|rotten|flop|homework|ect|balloon|how's|scenario|mainly|deplorables|stoop|reap|vocal|sow|crown|blank|jelly|excessive|remotely|sender|holster|shred|flake|plea|telephone|);|putin's|cheek|demonstrable|trace|skeleton|flip-flop|norris|bio|precisely|polar|beneath|projection|waaay|joanna|specially|decimal|garner|firmly|azonto|slightest|minus|slippery|literal|wayyy|nit|pale|worthwhile|esp|wheres|happend|nobody's|backup|bunyan|tsk|contradiction|gossip|hp|flint|fishy|bride|facial|humour|smartphone|trojan|rump|spade|beget|teh|swiss|salve|squat|ponder|persist|phantom|outweigh|mysterious|somethings|suspicion|puzzle|amuck|apps|bagger|occurrence|trademark|fudge|ventura|tad|pol|nom|gangnam|gall|aboard|manchester|fetch|testosterone|hawaiian|hows|get's|hash|sheep's|slang|vujanic|oddly|unchecked|pub|1-202-224-3121|wedge|fluff|mayhem|jessy|dea|pudding|flexibility|everything's|:||jazzy|incase|stash|coo|preferably|font|heteros|artpop|flopper|kunte|reel|entail|pronoun|10x|entrench|chem|loosely|baggage|gummy|everton|pastry|loos|samsung|idiot's|lag|smoothly|chore|realization|afterall|connotation|cliche|strangely|tinfoil|interestingly|chopper|day's|artwork|crunch|amok|something's|say's|decree|collateral|3x|signify|sleeper"
,,have|need|want|right|use|try|enough|allow|seem|continue|choose|force|deserve|able|suppose|decide|due|refuse|ready|compare|attempt|fit|belong|require|demand|accord|welcome|appear|seek|refer|qualify|challenge|pretend|manage|entitle|intend|prior|tend|appeal|attract|unable|superior|urge|pledge|resort|pander|attach|ought|cease|contrary|aspire|extent|cater|behold|strive|vow|cling|aloud|pertain|conform|fullest|obligate|ment|unwilling|akin|prone|destine|purport|oblige|want's|imperative
,,all|some|many|every|lot|each|half|thousand|several|hundred|plenty|alot|multiple|ton|numerous|various|dozen|countless|allot|multitude
,,get|go|take|come|put|leave|run|bring|move|turn|stay|hold|hit|fall|walk|drive|sit|stick|step|burn|pass|push|fly|jump|reach|roll|draw|enter|finish|fell|pee|strike|bury|drag|switch|disappear|sink|crawl|blast|settle|slip|shift|rot|skip|slam|slide|swing|stab|explode|climb|bump|bounce|sweep|sneak|fade|dive|float|burst|steer|ram|wander|inject|stumble|tuck|drift|cram|vanish|halfway|sunset|aby|revert|cower|oblivion|plunge|pedal
,,so|how|really|too|pretty|sooo|kinda|tho|af|soo|tbh|realy|asf|hella|tooo|awfully
,,wa|doesn't|isn't|wasn't|aren't|weren't|hasn't|ain't|doesnt|isnt|aint|wasnt|arent|hasnt|dosent|werent|arnt
,,say|think|know|see|believe|tell|mean|hear|ask|understand|guess|remember|forget|saw|realize|bet|trust|mention|imagine|expect|admit|notice|promise|assume|suggest|regret|swear|convince|approve|guarantee|suspect|recall|imply|discover|announce|condone|assure|recommend|predict|realise|belive|conclude|beleive|reckon|presume|underestimate|insinuate|anticipate|wager|remeber
,,from|when|now|never|where|before|after|while|next|since|already|once|until|during|almost|soon|finally|later|literally|everyday|forever|hopefully|till|immediately|nearly|quickly|eventually|slowly|via|barely|suddenly|whenever|anytime|til|everytime|officially|someday|happily|wherever|gladly|instantly|practically|whilst|afterwards|await|willingly|permanently|quietly|b4|rapidly|untill|magically|halt|fir|alway|scramble|gradually|fro|befor|silently
,,one|matter|reason|idea|wonder|chance|longer|doubt|excuse|proof|responsibility|harm|clue|consequence|offense|compromise|substance|credibility|exception|bind|whatsoever|criticism|sympathy|backbone|pun|accountability|merit|recognition|virtually|justification|compass|offence|boundary|remorse|relevance|taker|repercussion|objection|brainer|mater|wrongdoing|biggie|suprise
,,cotton|there|an|only|real|same|happen|true|new|slave|old|last|️|free|long|hard|🇸|truth|political|ago|bear|whole|answer|fan|high|national|constitution|close|begin|waste|single|serious|record|perfect|safe|correct|entire|possible|test|fine|personal|per|positive|current|clear|fair|worth|process|fault|equal|alive|late|machine|normal|certain|major|short|limit|large|calf|original|eu|itself|solution|daily|early|harvest|date|healthy|gift|key|york|necessary|balance|available|puerto|outrage|register|proper|cotten|fresh|recent|exact|rico|yellowstone|volunteer|kuwait|regular|final|halftime|previous|silent|extinct|prime|earlier|pacer|petition|quiet|4.3|requirement|heavy|solid|scholarship|firm|evolve|proceed|minor|tall|consent|max|sweat|dna|sanctuary|jersey|originally|anthem|euthanized|mandatory|cropper|21st|neutral|pre|norm|lab|bloom|resume|sacred|schedule|temporary|fitnessgram|™|traveler|awake|aerobic|exhaust|nh|luxury|beep|gram|multistage|labour|viable|brief|expire|vital|void|initial|bliss|signature|routine|underground|latter|broker|delay|contempt|hampshire|strictly|transition|sustainable|hostage|staple|poppy|machinery|orleans|criterion|immune|sufficient|selective|breton|span|nationwide|patent|disposable|barista|romantic|substantial|jackpot|euthanasia|steady|televise|slim|protective|stark|absent|identical|handy|lightly|zealand|voluntary|usps|distant|ovation|yorker|minimal|intact|secondary|overtime|parcel|precedent|prolong|withdrawal|nationally|defer|lemonade|temporarily|compliant|plaintiff|stellar|attacker|piper|fundraise|stork|obsolete|vigilant|ripe|eligibility|nudist|modest|enlistment|idle|valiant|functional|marketplace|civic|spar|unequal|paralyze|nan|flyer|rightful|expectancy|radicalised|yorkers|overdue|carnival|pretrial|tenant|proclamation|darkest|cadet|concession|landmark|cheapest|grudge|comcast's|lapse|sterile|guinea|deadline|inception|unconscious|decompose|slate|solvent|militarize|downgrade|forecast|comfortably
,,his|obama's|trump's|hillary's|clinton's|obamas|bush's|mccain's|romney's|president's|palin's|bill's|donald's|mccains|carson's|reagan's|hilary's|mitt's|bernie's|ryan's|paul's|cruz's|colbert's|sarah's|biden's|bruce's|gop's|palins|kennedy's|willard's|snowden's|springsteen's
,,-|:|urlref|=|~|v|>|^|_|0|<|aka|sarcasm|dot|sigh|alert|cough|hint|insert|ie|org|::|correction|yawn|=d|wink|666|=p|gasp|cont|sic|gotcha|facepalm|07|disclaimer|newsflash|->|<---|shrug|zzz|06|derp|-->|plural|paraphrase|--->|mrbonyman|=/|03|adjective|05|spoiler|jokamaja|tt|noun|plato|eg|ahem|333|8)
,,love|hope|respect|hate|bless|wish|miss|pray|enjoy|appreciate|admire|prefer|applaud|salute|embrace|pity|luv|despise|commend|adore|weep|cherish|loathe|congratulate|resent|detest|looove|abhor
,,country|america|world|nation|usa|future|society|economy|nature|planet|generation|democracy|culture|environment|specie|republic|monument|ours|universe|country's|existence|mankind|world's|civilization|nation's|dimension|galaxy|ecosystem
,,time|year|day|second|month|week|hour|minute|yr|decade|century|min|awhile|year's
,,good|bad|big|funny|nice|cool|scary|fast|hot|cute|sweet|weird|tough|gross|desperate|cheap|bore|lame|busy|creepy|dope|shitty|sexy|classic|bright|relax|clever|crappy|badass|rough|neat|tight|sharp|slick|smooth|shady|lousy|whack|freaky|goofy|wack|manly|catchy|overrate|keen|mediocre|predictable|stiff|wierd|goood|spooky|tame|scarey|tricky|corny|cheesy|edgy|sloppy|tuff|dank|rad|blurry|tacky|trendy|touchy|messy|gud|funky|helluva
,,thank|mr|sir|bruce|gaga|colbert|springsteen|bravo|keanu|kudos|whoopi|congratulation|reef|blaire|macron|oprah|sincerely|abbott|ty|#merrychristmasstarbucks|hildreth|doc|mulvaney|thx|thankyou|feuerstein|rowe|lebron|iz|mr.trump|emmanuel|mister|buscemi|goldberg|ynp|madam|dearly|thank-you|ma'am|tpd|whoopie|dr.carson|thanx|xo|prokhorenko|mr.president|xoxo|destin|@chris6134|beckham|godspeed|madame|illitch|winfrey|#respect|wtg|abbot|#pandora|goodnight|aloha|ceelo
